Published date,Severity,Published text,Translated text,Original language,Source URL,Status,Associated topics
2025-06-03 15:28:28.271179+00:00,3,"WFP and UNICEF now say five members were killed, several more injured in earlier attack on aid convoy near Al Koma, Sudan; multiple trucks burned",,,https://www.unicef.org/press-releases/wfpunicef-humanitarian-aid-convoy-carrying-life-saving-supplies-attacked-sudans,published,Sudan
2025-06-03 10:10:04.994458+00:00,3,"""Multiple casualties"" after WFP and UNICEF convoy delivering food from Al Koma into El Fasher, Sudan, came ""under attack"" overnight, UN representative tells Reuters; no additional details provided",,,https://www.reuters.com/world/africa/un-convoy-attacked-way-sudans-al-fashir-unicef-says-2025-06-03/,published,Sudan
2025-06-03 02:40:45.274907+00:00,1,"Editor's note: We are monitoring reports of all exits and entrance routes to Wadi Halfa in north Sudan, blocked by protesters demonstrating against scheduled power cuts since midnight. Local media earlier reported that crowds gathered outside the city's electricity office on Sunday to protest cuts that started on Saturday amid a worsening heatwave. We will update accordingly. - Halima",,,https://x.com/Mohamed05085067/status/1929725804214436320,published,Sudan
2025-06-01 23:11:18.835467+00:00,3,"More than 2,700 families displaced by fighting in al-Khowi, Sudan, between May 29-30 following takeover by paramilitary Rapid Support Forces, according to UN migration agency",,,https://sudantribune.net/article301513/,published,Sudan
2025-06-01 19:41:56.440737+00:00,4,"Hospital in al-Koma, Sudan, says some 89 people killed and injured in earlier drone strike near market area, blaming army warplanes",,,https://www.darfur24.com/2025/06/01/%d8%ba%d8%b1%d9%81%d8%a9-%d8%b7%d9%88%d8%a7%d8%b1%d8%a6-%d9%85%d9%82%d8%aa%d9%84-%d9%88%d8%a5%d8%b5%d8%a7%d8%a8%d8%a9-89-%d8%b4%d8%ae%d8%b5%d9%8b%d8%a7-%d9%81%d9%8a-%d9%82%d8%b5%d9%81-%d8%b9%d9%84/,published,Sudan
2025-06-01 19:34:40.360384+00:00,3,"Sudan's transitional Prime Minister Kamil Idriss dissolves government, tasks secretaries of ministries with undertaking responsibilities until new government formed, day after taking oath",,,https://x.com/SudanTribune_EN/status/1929258985674174765,published,Sudan
2025-06-01 15:23:16.127320+00:00,3,Sudan's health ministry says 12 deaths and 727 cholera cases identified across the country as of May 31 [corrects date],,,https://t.me/ajMubasher/369325,published,Sudan
2025-06-01 15:05:35.909323+00:00,3,"Sudan doctors union says three children and an adult killed, and four other people injured, in RSF attack on the Shagra area of El Fasher",,,https://x.com/SDN154/status/1929192227156242652,published,Sudan
2025-06-01 06:21:22.838249+00:00,1,Sudanese local media reports new military shelling targeting RSF facilities in the north of Nyala Friday night and Saturday morning,,,https://www.sudanakhbar.com/1654497,published,Sudan
2025-05-31 00:01:30.975548+00:00,3,"More: Sudanese government claims Wednesday RSF drone strikes on El Khawi, West Kordofan, and Al-Dabaibat, South Kordofan, killed eight and two civilians, respectively",,,https://x.com/MofaSudan/status/1928586915378561128,published,Sudan
2025-05-30 23:59:10.978890+00:00,4,Sudanese government claims Thursday-morning RSF strike on hospital in El Obeid killed at least 16 patients and wounded several other visitors and staff,,,https://x.com/MofaSudan/status/1928586915378561128,published,Sudan
2025-05-30 21:50:22.591499+00:00,3,"WHO reports 2.9 million doses of oral vaccine against cholera arrived in Port Sudan, Sudan, to help combat outbreak in Khartoum and North Kordofan states",,,https://x.com/whosudan/status/1928552127867043876,published,Sudan
2025-05-30 10:20:11.261053+00:00,3,Update: Sudan Doctors Network says at least six civilians killed and 14 others injured in earlier RSF attack on hospital in El Obeid,,,https://x.com/SDN154/status/1928388460236190114,published,Sudan
2025-05-30 08:32:37.158589+00:00,4,"Report: At least five people killed and 10 others injured in early morning RSF shelling on Sudan's El Obeid Hospital, health sources tell Al Jazeera",,,https://t.me/AjaNews/387708,published,Sudan
